asr,cond,n,cer_nopunct
whisper-base,taps,1000,0.2726
whisper-base,ce0.0,1000,0.2832
whisper-base,ce0.1,1000,0.2698
whisper-base,ce0.5,1000,0.2733
whisper-base,ce1.0,1000,0.2712
whisper-base,ce2.0,1000,0.2639
whisper-base,ce5.0,1000,0.27
whisper-base,ce10.0,1000,0.2667
whisper-base,demucs,1000,0.3051
whisper-base,tstnn,1000,0.3459
whisper-base,avg_taps_ce0.0,1000,0.2685
whisper-base,avg_taps_ce10.0,1000,0.2494
whisper-base,avg_taps_demucs,1000,0.3034
whisper-base,avg_taps_tstnn,1000,0.3021
whisper-base,mavg_taps_ce0.0,1000,0.2649
whisper-base,mavg_taps_ce10.0,1000,0.2474
whisper-base,mavg_taps_demucs,1000,0.2605
whisper-base,mavg_taps_tstnn,1000,0.2645
whisper-small,taps,1000,0.2297
whisper-small,ce0.0,1000,0.2353
whisper-small,ce0.1,1000,0.2188
whisper-small,ce0.5,1000,0.2128
whisper-small,ce1.0,1000,0.2076
whisper-small,ce2.0,1000,0.2
whisper-small,ce5.0,1000,0.1982
whisper-small,ce10.0,1000,0.1956
whisper-small,demucs,1000,0.2543
whisper-small,tstnn,1000,0.273
whisper-small,avg_taps_ce0.0,1000,0.2219
whisper-small,avg_taps_ce10.0,1000,0.2001
whisper-small,avg_ce0.0_ce10.0,1000,0.2037
whisper-small,avg_taps_demucs,1000,0.2449
whisper-small,avg_taps_tstnn,1000,0.242
whisper-small,mavg_taps_ce0.0,1000,0.2216
whisper-small,mavg_taps_ce10.0,1000,0.2031
whisper-small,mavg_taps_demucs,1000,0.2162
whisper-small,mavg_taps_tstnn,1000,0.2153
whisper-medium,taps,1000,0.1962
whisper-medium,ce0.0,1000,0.2007
whisper-medium,ce0.1,1000,0.1897
whisper-medium,ce0.5,1000,0.1787
whisper-medium,ce1.0,1000,0.1763
whisper-medium,ce2.0,1000,0.169
whisper-medium,ce5.0,1000,0.1711
whisper-medium,ce10.0,1000,0.1686
whisper-medium,demucs,1000,0.2197
whisper-medium,tstnn,1000,0.2254
whisper-medium,avg_taps_ce0.0,1000,0.1881
whisper-medium,avg_taps_ce10.0,1000,0.1731
whisper-medium,avg_taps_demucs,1000,0.2027
whisper-medium,avg_taps_tstnn,1000,0.2012
whisper-medium,mavg_taps_ce0.0,1000,0.1884
whisper-medium,mavg_taps_ce10.0,1000,0.1762
whisper-medium,mavg_taps_demucs,1000,0.1836
whisper-medium,mavg_taps_tstnn,1000,0.1828
whisper-ft,taps,1000,0.1462
whisper-ft,ce0.0,1000,0.1486
whisper-ft,ce0.1,1000,0.1359
whisper-ft,ce0.5,1000,0.1268
whisper-ft,ce1.0,1000,0.1274
whisper-ft,ce2.0,1000,0.1181
whisper-ft,ce5.0,1000,0.1213
whisper-ft,ce10.0,1000,0.1211
whisper-ft,demucs,1000,0.1713
whisper-ft,tstnn,1000,0.1673
whisper-ft,avg_taps_ce0.0,1000,0.1389
whisper-ft,avg_taps_ce10.0,1000,0.1203
whisper-ft,avg_taps_demucs,1000,0.1615
whisper-ft,avg_taps_tstnn,1000,0.1526
whisper-ft,mavg_taps_ce0.0,1000,0.1378
whisper-ft,mavg_taps_ce10.0,1000,0.1214
whisper-ft,mavg_taps_demucs,1000,0.1338
whisper-ft,mavg_taps_tstnn,1000,0.1305
mms-1b-all,taps,1000,0.3498
mms-1b-all,ce0.0,1000,0.3578
mms-1b-all,ce0.1,1000,0.3556
mms-1b-all,ce0.5,1000,0.3628
mms-1b-all,ce1.0,1000,0.3633
mms-1b-all,ce2.0,1000,0.3501
mms-1b-all,ce5.0,1000,0.3537
mms-1b-all,ce10.0,1000,0.3536
mms-1b-all,demucs,1000,0.381
mms-1b-all,tstnn,1000,0.431
mms-1b-all,avg_taps_ce0.0,1000,0.3447
mms-1b-all,avg_taps_ce10.0,1000,0.3284
mms-1b-all,avg_ce0.0_ce10.0,1000,0.3323
mms-1b-all,avg_taps_demucs,1000,0.3759
mms-1b-all,avg_taps_tstnn,1000,0.3771
mms-1b-all,mavg_taps_ce0.0,1000,0.3457
mms-1b-all,mavg_taps_ce10.0,1000,0.3314
mms-1b-all,mavg_taps_demucs,1000,0.3405
mms-1b-all,mavg_taps_tstnn,1000,0.3422
xlsr-korean,taps,1000,0.2216
xlsr-korean,ce0.0,1000,0.2306
xlsr-korean,ce0.1,1000,0.2336
xlsr-korean,ce0.5,1000,0.2514
xlsr-korean,ce1.0,1000,0.2719
xlsr-korean,ce2.0,1000,0.267
xlsr-korean,ce5.0,1000,0.2627
xlsr-korean,ce10.0,1000,0.2787
xlsr-korean,demucs,1000,0.2569
xlsr-korean,tstnn,1000,0.3732
xlsr-korean,avg_taps_ce0.0,1000,0.2181
xlsr-korean,avg_taps_ce10.0,1000,0.213
xlsr-korean,avg_ce0.0_ce10.0,1000,0.2153
xlsr-korean,avg_taps_demucs,1000,0.2763
xlsr-korean,avg_taps_tstnn,1000,0.2817
xlsr-korean,mavg_taps_ce0.0,1000,0.2186
xlsr-korean,mavg_taps_ce10.0,1000,0.2148
xlsr-korean,mavg_taps_demucs,1000,0.2164
xlsr-korean,mavg_taps_tstnn,1000,0.2238
