utt,spk,cond,hyp
p00_u00,p00,taps,구산시는 티일 5 시민들이 안전하게 데중규통을 이용하기 위에 대중교통 훈잡도 안정관리 대책 회일를 열고 정택 던검에 나섰다
p00_u00,p00,ce0.0,부산시는 7일 5 시민들이 안전하게 데중규통을 이용하기 위해 대중교통 훈잡도 안정관리 대책 회일를 여러부 정책 경업에 나섰다
p00_u00,p00,ce0.1,부산시는 필일 5 시민들이 안전하게 데중규통을 이용하기 위해 대중교통 훈잡도 안정관리 대책 회일를 열고 정색 경업에 나섰다
p00_u00,p00,ce0.5,두산시는 피일 5 시민들이 안전하을 대중교통을 위용하기 위해 대중교통 흔잡도 안정관류 대책 회일를 열고 정택 정업에 나섰다
p00_u00,p00,ce1.0,부산치는 7일 5우시민들이 안전하게 데중교통을 이용하기 위해 대중교통 흔잡도 안정관리 대책 회일에 열고 정택 정업에 나섰다
p00_u00,p00,ce2.0,구산시는 7일 5 시민들이 안전하게 대중교통을 이용하기 위해 대중교통 훈잡도 안정관리 대책 회일에 열고 경택 경검에 나섰다
p00_u00,p00,ce5.0,부산시는 7일 5 힘민들이 안전하게 되중규통을 이용하기 위해 대중교통 흔잡도 안정관리 대책 쇠일를 열고 정택 경검에 나셨다
p00_u00,p00,ce10.0,두산시는 7일 5우 시민들이 안전하을 대중규통을 이용하기 위해 대중교통 훈잡도 안정관리 대책 쇠리를 열고 정책 경검에 나셨다
p00_u01,p00,taps,인날 후이는 시 부상 교통공사 시키내 마을 법스 운송 상업 조합 등이 참석해 안전 확고 추진 상항 정공과 안전 관리 강화 방안을 함께 모색겠다
p00_u01,p00,ce0.0,인날 수 이는 시 부상 교통 공사 신에 마을 버스 운송 사업 조합등이 참석해 안전 학고 추진 상항 정공과 안정 관리 강화 방안을 함께 모색겠다
p00_u01,p00,ce0.1,인날 회이는 1 부상 교통공사 흰해 마을 버스 운송 상업 조합등이 참석해 안전 확고 추진 상항 경공과 안전 관리 강화 방안을 함께 모색겠다
p00_u01,p00,ce0.5,인날 회이는 1 부상 교통 공사 신내 마을 버스 은송 상업 조합등이 참석해 안전 확고 추진 상항 경근과 안정 관리 강화 방안을 함께 모색겠다
p00_u01,p00,ce1.0,인날 회이는 1 부상 교통공사 흰에 마을 버스 은송 상업 조합등이 참석해 안전 확고 추진 성항 경능과 안전 관리 강화방안을 함께 모색겠다
p00_u01,p00,ce2.0,인날 회위는 시 부상 교통공사 흰해 마을 버스 은송 사업 교합등이 탐석해 안전 삯고 추진 상한 경건과 안전 관리 강화 방안을 함께 모색겠다
p00_u01,p00,ce5.0,인날 회위는 1 부상 교통공사 신해 마을 버스 은송 상업 조합 등이 참석해 안전 확고 추진 상학 경공과 안정 발리 강화방안을 함께 모셨겠다
p00_u01,p00,ce10.0,인난 회위는 시 부상 교통공사 흰내 마을 버스 은송 상업 조합등이 참석해 안전 삯보 추진 상향 경응과 안정 살리 강화방안을 함께 모색겠다
p00_u02,p00,taps,도시출또는 정원120명인 항한 차랑의 18명의 탐승했을 경우 훈잡한 상태로 승무원에 관리가 필요하다
p00_u02,p00,ce0.0,도시출또는 정원12명인 항한 찬랑의 18명의 탐승했을 경우 훈잡한 상태로 승무원에 관리가 필요하다
p00_u02,p00,ce0.1,도시출또는 정원12명인 항한 찬랑의 18명의 탐승했을 경우 훈잡한 상태로 승무원에 갈리가 필요하다
p00_u02,p00,ce0.5,도시출또는 정원 1기0 명인 항한 사랑의 18 명의 담승했을 경우 온잡한 상태로 승무원에 관리가 필요하다
p00_u02,p00,ce1.0,도07또는 정원 1기 명인 항한 찬랑의 18 명의 탐승했을 병우 운잡한 상태로 승무원에 관리가 필요하다
p00_u02,p00,ce2.0,도히출또는 정원 120명인 항한 찬랑의 18명의 탐승했을 병우 혼잡한 상태로 승무원에 관리가 필요하다
p00_u02,p00,ce5.0,도시출또는 정원120명인 항한 찬랑의 18명의 탐승했을 경국 혼잡한 상태로 숭무원에 관리가 필요하다
p00_u02,p00,ce10.0,도시출또는 정원 120명인 항한 찬랑의 18 명의 담승했을 경우 혼잡한 상태로 승무원에 관리가 필요하다
p00_u03,p00,taps,부산시는 출태근시간 폐대 순관 혼잡도가 백2퍼 4 수준으로 수족권과 달리 승차의 크게 어려움을 겪지 않는 수준에서 안전하게 관리되고 있다
p00_u03,p00,ce0.0,부산시은 출태근시간 최제 승관 혼잡도가 백2퍼 4 수준으로 수족권과 달리 승차의 크게 어려움을 겪지 않는 수준해서 안전하게 관리되고 있다
p00_u03,p00,ce0.1,부산시은 출태근시간 최대 승관 혼잡도가 백2퍼 4 수준으로 수족권과 달리 승차일 크게 어려움을 겪지 않는 수준해서 안전하게 관리되고 있다
p00_u03,p00,ce0.5,부산시은 출태근식간 최대 숭관 혼잡도가 120퍼 4 수준으로 수조권과 달리 숭차일 크의 어려움을 겪시 않는 수준해서 안전하게 관리되고 있다
p00_u03,p00,ce1.0,부산피은 출태근시간 최대 순관 훈접도가 백21퍼 내 수준으로 수조공과 달리 승차일 크의 어려움을 겪배 않는 수준해서 안전하게 관리되고 있다
p00_u03,p00,ce2.0,부산시은 출태근시간 최대 숭관 혼잡도가 12퍼 4 수준으로 수조공과 달리 승차일 크에 어려움을 겪지 않는 수준해서 안전하게 관리되고 있다
p00_u03,p00,ce5.0,부산시은 출태근시간 최대 순관 혼잡도가 120% 4 수준으로 수조공과 달리 승차의 크에 어려움을 겪지 않는 수준해서 안전하게 관리되고 있다
p00_u03,p00,ce10.0,부산시는 출태군시간 최대 순간 혼잡도가 120퍼 내외 수준으로 수조공과 달리 승차일 크게 어려움을 겪제 않는 수준해서 안전하게 관리되고 있다
p00_u04,p00,taps,시는 책금 비키에을 공욕과 같이 일시적으로 훈잡도 상승이 예상되는 행사는 빙차 추가 투입 무정차 운행등으로 훈잡도를 해소하기로 했다
p00_u04,p00,ce0.0,시는 책은 비키s 공욕과 같이 밀시적으로 훈잡도 상승이 예상되는 행사는 빈차 추가 트입 무정차 운행등으로 혼잡도를 해서하기로 했다
p00_u04,p00,ce0.1,시는 책금 비k에s 공욕과 같이 일시적으로 훈잡도 상승이 예상되는 행사는 빈차 출가투입 무정차 운행등으로 혼잡도은 해소하기로 했다
p00_u04,p00,ce0.5,시는 책금 pts 공욕과 같이 일시적으로 혼잡도 상승이 예상되는 행사는 평차 추가 트입 우정차 운행병으로 혼잡도를 해소하기로 했다
p00_u04,p00,ce1.0,시는 책금 비ts 공역과 같이 울기적으로 훈잡도 상승이 예상되는 행사는 평차 추가 트입 무정차 운행등으로 혼잡도를 해소하기로 했다
p00_u04,p00,ce2.0,시는 책금 비티s 공역과 같이 일시적으로 훈잡도 상생의 예상되는 행사는 빈차 추가 투입 우정차 운행등으로 혼잡도를 해소하기로 했다
p00_u04,p00,ce5.0,시는 책은 피ts 공령과 같이 일시적으로 훈잡도 상승이 예상되는 행사는 빈차 출가 트입 우정차 운행병으로 훈잡도를 해소하기로 했다
p00_u04,p00,ce10.0,흰는 책은 비키에스 공역과 같치 은시적으로 훈잡도 상숭이 예상되는 행사는 빈차 추가 투입 우정차 운행병으로 훈잡도을 해소하기로 했다
p00_u05,p00,taps,또 현제 우역되고 있는 부상 교통 공사 운행 관재의 현장 조치 매유월등 달련 매유월을 점년 제검점에 안정관리를 기속적으로 해나갈 방깁니다
p00_u05,p00,ce0.0,또 현제 우역되고 있는 부상 교통 공사 운행 관재의 현장 주이 매유월등 발념 매유원을 점년 제검점에 안정관리를 기속적으로 해나갈 방칩니다
p00_u05,p00,ce0.1,또 현제우역되고 있는 부상 교통 공사 운행 관재의 현장 주이 매유월등 발련 매유월을 점면 제검점에 안정관리를 기속적으로 해나갈 방심니다
p00_u05,p00,ce0.5,또 현제운역되고 있는 부상 교통 공사 운행 관제의 현장 조치 매유월등 관련 매유월을 점면 제검점에 안정관리를 기속적으로 해나갈 방칩이다
p00_u05,p00,ce1.0,또 현제우역되고 있는 부상 교통 공사 운행관재 현장 주치 매유월등 달련 매유월을 점면 제검점에 완정관리를 기속적으로 해나갈 방심니다
p00_u05,p00,ce2.0,또 현제우역되고 있는 부상 교통공사 운행 관재 현장 주이 매유월등 발련 매유월을 점년 재검점에 만정관리를 기속적으로 해나갈 방칩니다
p00_u05,p00,ce5.0,또 현재우역되고 있는 부상 교통 공사 오행관제 현장 주치 매유월등 달련 매유원을 점면 제검점에 만정관리를 기속적으로 해나갈 방칩니다
p00_u05,p00,ce10.0,또 현제은역되고 있는 두상 교통 공사 운행 관제 현장 주치 매유월등 발련 매유월을 점년 재검점에 관정관리를 기속적으로 해나갈 방십니다
p00_u06,p00,taps,시의 말을법스는 출택은 시간때 일부 노선을 제외하고는 대부분의 노선이 흔잡도가 나자 현제낸 승하차의 어려움 없이 안전하게 관리되고 있다
p00_u06,p00,ce0.0,시의 마을 법스는 출택은 시간때 일부 노선을 제외하고는 대부분의 노선이 훈잡도가 나자 편제는 승하차의 어려움 없이 안전하게 관리되고 있다
p00_u06,p00,ce0.1,신의 말을법스는 출택은 시간때 일부 노선을 제외하고는 대부분의 노선이 훈잡도가 나자 현제는 승하차의 어려움 없이 안전하게 관리되고 있다
p00_u06,p00,ce0.5,흰네 마을법스는 출택은 시간때 일부 노선을 제외할고는 대부분의 노선이 훈잡도가 나자 현제는 승하차의 어려우 없이 안전하게 관리되고 있다
p00_u06,p00,ce1.0,흰의 말울법스는 출택은 시간때 일부 노선을 제외하고는 대부분의 노선이 훈잡도가 나자 현제는 승하차의 어려우 없이 안전하게 관리되고 있다
p00_u06,p00,ce2.0,신의 말흘법스는 출택은 시간때 일부 노선을 제외하고는 대부분의 노선이 훈잡도가 나자 현제낸 승하차의 어려움 없이 안전하게 관리되고 있다
p00_u06,p00,ce5.0,신의 마을법스는 출택은 시간때 일부 노선을 제외하고는 대부분의 노선이 훈잡도가 나자 현제낸 승하차의 어려우 없이 안전하게 관리되고 있다
p00_u06,p00,ce10.0,흰의 말을법스는 출택은 시간때 일부 노선을 제외할고는 대부분의 노선이 훈잡도가 나자 현제는 순하차의 어려우 없이 안전하격 살리되고 있다
p00_u07,p00,taps,아으로 시는 2023년 하방기 중 사차택그 의무제를 도입에 버스의 제차 인원 정보를 파학히 8승 인원을 실식간 수집할 계획이다
p00_u07,p00,ce0.0,아으로 시는 2028년 하방기 중 사차택그 의무제를 도입에 뽑쓰의 제차 인원 정보를 파학히 탐승 인원을 실시간 수집할 계획이다
p00_u07,p00,ce0.1,아으로 시는 2028년 하방기중 사차택의 의무죄를 도입에 버스의 제차 인원 정보를 파학히 탐승 인원을 실식간 스집할 계획이다
p00_u07,p00,ce0.5,앞으로 시는 2023년 하방기 중 파차택의 의무죄를 도입에 워스의 제차 인원 정보를 파학해 탐성 인원을 실식간 수집할 계획이다
p00_u07,p00,ce1.0,앞으로 시는 2028년 하반기중 하차택그 의무죄를 도입에 버스의 제차 인원 종보를 파학히 갑성 인언낼 실시간 수집할 계획이다
p00_u07,p00,ce2.0,앞으로 시는 2024년 하반기중 하차택의 의무제를 도입해 버스의 제차 인원 정보를 파학히 탐성 인원을 실식간 수집할 계획이다
p00_u07,p00,ce5.0,앞으로 시는 2023년 하반기 중 하차택의 의무제를 도입에 버스의 제차 이원 정보를 파았해 갑승 인원을 실식간 수집할 계획이다
p00_u07,p00,ce10.0,아으로 흰는 2023년 하방기 중 사차태그 의무제를 도입에 버스의 제차 인원 정보를 파학히 탐승 인원을 실시간 수집할 계획이다
p00_u08,p00,taps,이를 통해 버스의 혼잡도 정보를 버스 정보 안내기 쯤마혼등을 통해 이용시민들에게 대공할 계획이다
p00_u08,p00,ce0.0,일를 통에 버스의 혼잡도 정보를 버스 정보 안내후 쯤마혼 등을 통해 이용시민들에게 제공할 계획이다
p00_u08,p00,ce0.1,이를 통해 버스의 혼잡도 정보를 버스 정보 안내귀 즈마혼 등을 통해 위용시민든에게 대공할 계획이다
p00_u08,p00,ce0.5,위를 통에 버스의 혼잡도 정보를 버스 정보 안내그 스마혼 등을 통해 위용시민들에게 제공할 계획이다
p00_u08,p00,ce1.0,일를 통에 버스의 혼잡도 정보를 버스 정보 안네귀 스마혼등을 통해 위용시민든에게 제공할 배획이다
p00_u08,p00,ce2.0,일를 통해 버스의 혼잡도 정보를 버스 정보 안내이 스마혼 등을 통해 위용시민드에게 제공할 계획이다
p00_u08,p00,ce5.0,일를 통해 버스의 혼잡도 정보를 버스 정보 안내후 스마혼등을 통해 위용시민들에게 제공할 계획이다
p00_u08,p00,ce10.0,일를 통해 버스의 혼잡더 정보를 버스 정보 안내귀 트마포등을 통해 위용시민드에게 제공할 계획이다
p00_u09,p00,taps,원주시는 19일5 호조면 3년이 7봉회육 공원에서 섬강 자장남무습 둘레길 계통식을 계체했다
p00_u09,p00,ce0.0,원주시는 19일5 호조면 3년이 7봉폐육 공원에서 섬강 자장남무수 둘레길 계통식을 계체했다
p00_u09,p00,ce0.1,원주시는 19일5 호조면 3년이 7봉태육 공원에서 섬강 자장나무습 둘레길 계통식을 계체했다
p00_u09,p00,ce0.5,원주시는 키후우 호조면 산년리 7봉태육공원에서 섬강 자장남무수 둘렉길 계통식을 계체했다
p00_u09,p00,ce1.0,원주지는 19일5 호조면 3년리 7봉폐 공원에서 섬강 가장남무습 둘렉길 계통식을 계체했다
p00_u09,p00,ce2.0,원주시는 19일5 호조면 산년리 7봉태육 공원에서 섬강 가장남무습 둘레길 계통식을 계체했다
p00_u09,p00,ce5.0,원주시는 19일오 호조면 3년리 필봉폐 공원에서 섬강 가장나무습 둘레길 계통식을 계체했다
p00_u09,p00,ce10.0,원주지는 19일5 호조면 3년리및 7봉폐우 공원에서 섬강 가장남무습 둘렉길 계통식을 계체했다
p00_u10,p00,taps,인할 계통된 사정5k로m터 길모의 둘레길은 대크결과 쉽의 공관을 비롯에 수령30년 이상의 자장나무과 굴락을 이르고 있는 수등을 갖추고 있다
p00_u10,p00,ce0.0,위할 계통된 사정5k로m터 준모의 둘레길은 대크결과 쉽의 공관을 비롯에 수령30년 이상의 자장나무가 굴락을 이르고 있는 수 등을 갖추고 있다
p00_u10,p00,ce0.1,인날 계통된 사정5k로m터 규모의 둘렉길은 대끗결과 쉽의 공관을 비롯에 수령30년 이상의 자장나무가 굴락을 이르고 있는 숙등을 갖추고 있다
p00_u10,p00,ce0.5,이날 계통된 사점5k로m터 규모의 줄렉길은 대크결과 수기 공관을 비롯에 수령 30년 이상의 자장나무가 굴락을 리르고 있는 수등을 갖치고 있다
p00_u10,p00,ce1.0,인할 계통된 카점5k로m터 길모의 둘렉길은 태끗결과 수의 군관을 비롯에 수령 30년 이상의 자장나무과 굴락을 리르고 있는 크등을 갖추고 있다
p00_u10,p00,ce2.0,민날 계통된 4점5k로m터 길모의 줄렉길은 대크길과 키길 공간을 비롯에 수량 30년 리상의 자장나무가 굴락을 이르고 있는 수등을 갖추고 있다
p00_u10,p00,ce5.0,이날 계통된 사점5k로m터 경모의 줄렉길은 대크결과 쉽의 공관을 비롯에 수령 30년 이상의 자장나무가 굴락을 리루고 있는 수등을 갖추고 있다
p00_u10,p00,ce10.0,인할 계통된 사점5km터 규모의 줄레길은 대끗결과 휴의 공관을 비롯에 수령30년 이상의 자장나무가 굴락을 리루고 있는 추등을 가추고 있다
p00_u11,p00,taps,7봉 체육 교원에서 출발에 성강을 따라 거는 택끗 길에는 들판과 강히 어으러진 풍광을 망기할 수 있다
p00_u11,p00,ce0.0,7봉 체육 경원에서 출발에 성강을 따라 거는 택끗길에는 들판과 강히 어우러진 풍광을 망기할 수 있다
p00_u11,p00,ce0.1,7봉 체육 교원에서 출발에 성강을 따라 거는 택끗 길에는 들판과 강히 어으러진 풍광을 망깁할 수 있다
p00_u11,p00,ce0.5,실봉 체육 경원에서 출발에 형강을 따라 거는 특크길에는 들판과 강이 여으러진 풍광을 망기할 수 입다
p00_u11,p00,ce1.0,실봉 체육 경원에서 출반에 성강을 따라 거는 특끗길에는 들판과 강이 여으러진 풍광을 망깁할 수 입다
p00_u11,p00,ce2.0,질봉 체육 교원에서 출발에 성강을 따라 거는 택끗 길에는 들판과 강이 어으러진 풍강을 망기할 수 있다
p00_u11,p00,ce5.0,7봉 체육 교원에서 출발에 성강을 따라 권는 택끗길에는 들판과 강히 여으러진 풍광을 망기할 수 있다
p00_u11,p00,ce10.0,7봉 태육 경원에서 출발에 성강을 따라 권는 택끗 길에는 들판과 강히 어으러진 풍광을 망격할 수 있다
p00_u12,p00,taps,이어 잔남무 수을 지하면 코디어 음픽 자태를 뿐내는 자장남무 굴라기 나타한다
p00_u12,p00,ce0.0,이어 잔남무 스을 지하면 코디어 음픽 자태를 뿐내는 자장남무 굴라기 나타한다
p00_u12,p00,ce0.1,이어 잔남무 스을 지하면 코디어 음픽 자태를 뿐내는 자장남무 굴라기 나타한다
p00_u12,p00,ce0.5,이어 잔남무 습을 뒤하면 고디어 음핍 표태를 뿐내는 자장남무 굴락기 나타한다
p00_u12,p00,ce1.0,이어 잔남을 스을 지하면 코디어 음픽자태를 뿐내는 자장남을 굴락기 나타한다
p00_u12,p00,ce2.0,이어 잔남무 습을 지하면 코디어 음빛 자태를 뿐내는 자장 남무 굴락기 나타한다
p00_u12,p00,ce5.0,이어 잔남무 스을 지하면 고디어 음빛 자태를 뿐내는 자장남무 굴라기 나타한다
p00_u12,p00,ce10.0,이어 잔남무 스을 지하면 고디어 음핍자태를 뿐내는 자장남무 굴락기 나타한다
p00_u13,p00,taps,원주시는 관강격들에게 세로운 불거리를 계공하기 위해 성광 가장남무습 둘레끼에 다양한 주재의 수을 추가 조성하기로 했다
p00_u13,p00,ce0.0,원주시는 광광격들에게 세로운 불거리를 세공하기 위해 성광 다장남무습 둘레끼에 다양한 주재의 수을 추가 조성하기로 했다
p00_u13,p00,ce0.1,원주시는 광광역들에게 세로운 불거리를 개공하기 위해 성광 자장나무습 둘렉길에 다양한 주재의 수을 추가 조성하기로 했다
p00_u13,p00,ce0.5,원주시는 광광역들에게 세로운 불거리를 제공하기 위해 성광 자장남무습 불레길에 다양한 유재의 수을 수가 조성하기로 했다
p00_u13,p00,ce1.0,원주시는 관광격등에게 세로운 불거리를 제공하기 위해 성광 자장남무습 둘렉길에 다향한 주재의 수을 추가 조성하기로 했다
p00_u13,p00,ce2.0,원주시는 광광역들에게 세로운 불거리를 제공하기 위해 성강 자장남무습 둘렉길에 다양한 주제의 수을 추가 조성하기로 했다
p00_u13,p00,ce5.0,원주시는 광광력들에게 세로운 불거리을 제공하기 위획 형광 다장남무습 둘렉끼에 다양한 주재의 수을 추가 조성하기로 했다
p00_u13,p00,ce10.0,원주시는 광광격들에게 세로운 불거리를 제공하기 위해 성강 다장남으습 둘레길에 다양한 주재의 수을 추가 조성하기로 했다
p00_u14,p00,taps,원창막 원주 시장은 피학산 둘렉길 속금 산 그렌드 벨리 등과 영기한 광광 프로그움을 우영하는 방함도 옮토하고 있다고 말했다
p00_u14,p00,ce0.0,원창국 원주 시장은 취학산 둘렉길 소금산 그랜드 벨리 등과 영기한 광광 프로그램을 우영하는 방함도 옮토하고 있다고 말했다
p00_u14,p00,ce0.1,"원창막 원주 시장은 티약산 둘렉길 소금 산 그렌드 벨리 등과 영기한 광광 프로그램을 우영하는 방함도 옮토하고 있다""고 말했다"
p00_u14,p00,ce0.5,원창국 원주 시장은 피학산 둘렉길 속금산 그렌드 벨리 등과 영기한 광광 프로그램을 우영하는 방함도 검토하고 있다 고 말했다
p00_u14,p00,ce1.0,원창막 원주 시장은 피약산 둘렉길 속금산 그랜드뱅리 등과 영비한 광광 프로그움을 우영하는 방함도 검토하고 있다 고 말했다
p00_u14,p00,ce2.0,원창부 원주시장은 희약산 둘렉길 속금 산 그랜드 뱅리 등과 영기한 관각 프로그움을 운영하는 방함도 옮투하고 있다고 말했다
p00_u14,p00,ce5.0,원창물 원주 시장은 키약산 둘렉길 속금산 그렌드벨리 등과 영개한 관강 프로그움을 운영하는 방함도 검투하고 있다 고 말했다
p00_u14,p00,ce10.0,원창북 원주 시장은 취학산 둘렉길 속금산 그랜드벨리 등과 영기한 광강 프로그램을 우영하는 방함도 옮투하고 있다 고 말했다
p00_u15,p00,taps,앞서 원주시는 지난의 오월 139자 미k로m터의 달라는 찍학산 둘렉길 연랑기코을 정구관을 대통했다
p00_u15,p00,ce0.0,앞서 원주지는 지난의 오월 139자미k로m터의 달라는 지학산 둘렉길 연랑기코을 정구간을 계통했다
p00_u15,p00,ce0.1,앞서 원주시는 지난의 오월 139자 미k로m터의 달라는 치학산 둘렉길 연랑기코을 정구간을 계통했다
p00_u15,p00,ce0.5,앞서 원주시는 지나의 오월 139자 미k로m터의 달라는 티학산 둘렉길 연랑계코을 정구간을 계통했다
p00_u15,p00,ce1.0,앞서 원주지는 지난의 오월 13찍9자 및k로m터의 달라는 시합산 둘렉길 연랑기코스 정구간을 배통했다
p00_u15,p00,ce2.0,앞서 원주지는 귀난의 오월 백39자 미k로m터의 달라는 취학산 들렉길 연랑계곳스 정구간을 계통했다
p00_u15,p00,ce5.0,앞서 원주지는 귀난의 오월139자 미k로m터의 달라는 취학산 둘렉길 연랑기 코을 정구간을 계통했다
p00_u15,p00,ce10.0,앞서 원주시는 지난의 오월 139자미k로m터의 달라는 치학산 둘렉길 연랑기코을 정구관을 계통했다
p00_u16,p00,taps,이는 등산로 색길 인도 듣길 옛길 마학길등 기존의 길을 영겨라고 새로운 길을 내어 다음은 도부 여행 끼리다
p00_u16,p00,ce0.0,이는 등산로 색길 임도 북길 옛길 마학길등 기존의 길을 영겨하고 새로운 지을 내어 다음은 도보 여행 끼리다
p00_u16,p00,ce0.1,이는 등산로 백길 임노 북길 옛길 마길등 기존의 길을 연겨라고 새로운 길을 내어 다음은 도보 여행 끼리다
p00_u16,p00,ce0.5,이는 등산로 백길 임도 두빌 옛길 마길등 규존의 길를 영겨라고 새로운 길을 내어 다음은 도부 여행 끼리다
p00_u16,p00,ce1.0,이는 등산로 협길 임도 두길 옛길 마길등 기존의 길을 영겨라고 세로운 길를 내어 다음은 도보 여행끼이다
p00_u16,p00,ce2.0,이는 등산로 색길 인도 듣길 옛길 마길등 귀존의 길을 영겨라고 새로운 길을 내어 다음은 도보 여행 끼리다
p00_u16,p00,ce5.0,이는 등산록 색길 임독 듣길 옛길 말길등 귀존의 길를 영겨라고 새로운 길를 내어 다음은 도보 여행 끼리다
p00_u16,p00,ce10.0,이는 등산로 색길 임독 북길 옛길 마길등 기존낸 길를 영결하고 채로은 길를 내어 다음은 토보 여행끼리다
p00_u17,p00,taps,순창군 체육회가 주체 하고 순창군 베드민터 옆패가 주간의 연린 대시 1의 순찬 고출장배 정국 베드민터대획가 청황위에 막을 내렸다
p00_u17,p00,ce0.0,순창군 체육회가 주체하고 순창군 베드민터 옆패가 주간의 연린 제시 1 순찬 고출장배 정국 베드민터 대획가 성황위에 막을 내졌다
p00_u17,p00,ce0.1,순창군 채육회가 주체하고 순창군 베드민터 옆패가 주간의 연린 대시 1 순찬 고출장배 정국 베드민터대획가 청황위에 막을 내었다
p00_u17,p00,ce0.5,순창군 최육회가 주체하고 순창군 베드민터 옆패가 주간의 연린 제시 1 순창 고출장배 정국 베드민터대획가 성황령에 막을 내렸다
p00_u17,p00,ce1.0,순창군 최육회가 주체하고 순창군 베드민터 옆패가 주간의 연린 제시 1의 순창 고출장배 정국 베음민터대획가 성황능에 막을 내렸다
p00_u17,p00,ce2.0,순창군 최육회가 주체하고 순창군 베드민터 옆패가 주간의 연린 제시 1의 순찬 고출장배 정국 베음민터대획가 성황리에 막을 내렸다
p00_u17,p00,ce5.0,순착군 체육해가 주체 하고 순착군 베드민터 몇패가 주간에 연린 개시 1의 순찬 고출장배 정국 베드민터 대획가 청황림에 막을 내렸다
p00_u17,p00,ce10.0,순창군 체육회가 주체 하고 순착군 베드민터 몇패과 주간의 연린 제시 1의 순창 고출장매 정국 베음민터 대회가 청황령에 막을 내렸다
p00_u18,p00,taps,순창 국민 체육센터등 세계구장에서 절라북또와 순찬군이 후원에 지난 6일부터 이틀동안 열린 대외는 예상보자 많은 1천 여망이 참가에 응기를 실각해 했다
p00_u18,p00,ce0.0,순찬 국민 체육센터등 세계구장에서 절라북또와 순찬군이 후원에 지난 6일부터 이틀종안 연린대회는 예상보자 많은 1천 여망이 참가에 응기를 실각해 했다
p00_u18,p00,ce0.1,순찬 국민 체육센터등 회개구장에서 절라북또와 순찬군이 후원에 귀난 6일부터 이틀동안 연린대회는 예상보다 많은 1천 여망이 참가에 능기를 실각해 했다
p00_u18,p00,ce0.5,순창 국민 체육센터등 해개 우장에서 전라북또와 순찬군이 후원에 지난 6일부터 이틀동안 열린 대회는 예상부다 많은 1천 여명 참가에 응기를 실각해 했다
p00_u18,p00,ce1.0,순찬 국민 체육 센터등 새귀구장에서 절라북또와 순찬군이 후원에 귀난 6일부터 이틀동안 열린 대외는 예상부다 많은 1천 여명의 참가에 응개를 실각해 했다
p00_u18,p00,ce2.0,순찬 국민 체육센처등 해계구장에서 절라북또와 순찬군이 후원에 귀난 6일부터 이틀동한 연린대외는 예상보다 많은 1천 여명이 참가에 인길를 실각해 했다
p00_u18,p00,ce5.0,순창 국민 체육센서등 세계구장에서 전라북또와 순찬군이 후원에 귀난 6일부터 이틀동안 열린대회는 예상부다 많은 일천 여명이 참가에 응기를 실각해 했다
p00_u18,p00,ce10.0,순찬 국민 체육센처등 회기구장에서 전라북또와 순찬군이 후원에 귀난 6일부터 2필동안 연린대회는 예상부다 많은 1천 여명 참가에 응개를 실각해 했다
p00_u19,p00,taps,크기 참가한 손수는 모두 통의인으로 열령별 상별 경기 방식에 따라 친찍개교로 나너 병기가 지행했다
p00_u19,p00,ce0.0,특히 참가한 손수는 모두 통의인으로 열령별 상별 병기 방식에 따라 친식개조로 나너 병기가 지행졌다
